licencenumber,licencecode,licencetype,licenseeorg,liccount,lictotal,licensees,tradingnames,address,suburb,state,postcode,dateexpiry,dateissued
14005239,OFF,Liquor - Off,Company,1,1,AUSTRALIAN WINE ARCHIVES PTY LTD,Australian Wine Archives Pty Ltd,Basement Level 10-12 Colbee Court,PHILLIP,ACT,2606,2023-11-30T00:00:00.000,2001-12-03T00:00:00.000
14005556,OFF,Liquor - Off,Company,1,1,ALDI FOODS PTY LIMITED,Aldi Foods Pty Limited,"Shop AGO 9, Canberra Centre 125 Bunda Street",CANBERRA,ACT,2600,2022-11-30T00:00:00.000,2007-08-29T00:00:00.000
14004210,OFF,Liquor - Off,Company,1,1,CANBERRA CHOICE SUPERMARKETS PTY LTD,"Canberra Choice Supermarkets Pty Ltd, Shop-Rite Griffith",2 Barker Street,GRIFFITH,ACT,2603,2023-02-28T00:00:00.000,1990-08-10T00:00:00.000
14001377,OFF,Liquor - Off,Company,1,1,DEAKIN GROCER PTY LTD,Deakin IGA Supermarket,Shop 1 2-4 Duff Place,DEAKIN,ACT,2600,2023-02-28T00:00:00.000,2016-11-03T00:00:00.000
14004789,OFF,Liquor - Off,Company,1,1,KALOSPIA PTY LTD,Braddon Supermarket,Shop 2 94 Lowanna Street,BRADDON,ACT,2612,2023-11-30T00:00:00.000,2013-02-07T00:00:00.000
14001650,OFF,Liquor - Off,Company,1,1,SIXFOUR PTY LTD,Chapman Food & Liquor Market,"Shop 6, Chapman Shopping Centre 52-56 Perry Drive",CHAPMAN,ACT,2611,2023-02-28T00:00:00.000,
14000163,OFF,Liquor - Off,Company,1,1,MICKSAN HOLDINGS PTY LTD,Cellargold Wines,4 McEwan Avenue,OAKS ESTATE,ACT,2620,2022-02-28T00:00:00.000,2014-03-12T00:00:00.000
14005669,OFF,Liquor - Off,Company,1,1,BRANDNET PTY LTD,Military Shop,65 Kembla Street,FYSHWICK,ACT,2609,2023-11-30T00:00:00.000,
14005569,OFF,Liquor - Off,Company,1,1,RISING WOOD PTY LTD,East Row Supermarket,22-58 East Row,CANBERRA,ACT,2600,2023-02-28T00:00:00.000,2020-04-17T00:00:00.000
14005746,OFF,Liquor - Off,Company,1,1,CAINSCO PTY LTD,Prohibition The Bottle Shop,"Shop 1, 44 Curtin Place",CURTIN,ACT,2605,2023-02-28T00:00:00.000,2021-10-07T00:00:00.000
