Store_ID,Suburb,Street,Postcode,Lat,Lon,Type
501004,Quakers Hill NSW,"85 Bali Dr,",2763,-33.71828,150.89196,Store
501007,Arndell Park NSW,Holbeche Rd/Walters Rd,2148,-33.78961,150.89029,Store
501009,Wallsend NSW,Sh32 Wallsend Pl Kokera St,2287,-32.90368,151.66737,Store
501014,Cessnock NSW,165-167 Wollombi Rd,2325,-32.83418,151.35223,Store
501013,Bathurst  NSW,128 Russell Street,2795,-33.42055,149.58056,Store
501017,Orange NSW,167-177 Peisley Street,2800,-33.2858,149.10267,Store
501024,Hamilton  NSW,11 Swan Street,2303,-32.91892,151.74573,Store
501020,St Marys  NSW,410-422 Great Western Hwy,2760,-33.76973,150.77037,Store
501028,Lithgow NSW,2 Valley Drive,2790,-33.48833,150.1525,Store
501036,Baulkham Hills NSW,Olive St & Old Northern Rd,2153,-33.75941,150.99205,Store
501033,Mt Druitt NSW,16 Zoe Place,2770,-33.76584,150.82729,Store
501030,Richmond NSW,128 Windsor Street,2753,-33.59911,150.75463,Store
501035,Emu Plains NSW,Gt Wstn Hwy & Pyramid St,2750,-33.7529,150.65966,Store
501031,Wyoming NSW,489 Pacific Hwy,2250,-33.40917,151.34944,Store
501043,Penrith NSW,201 - 205 High Street,2750,-33.75554,150.70562,Store
501051,Tuggerah  NSW,Cnr Gavenlock & Cobbs Rd,2259,-33.30719,151.41344,Store
501052,Bateau Bay NSW,Shop M01 Stockland Bay Vill,2261,-33.37581,151.47246,Store
501049,Rouse Hill NSW,3 Resolution Place,2155,-33.68367,150.91823,Store
501047,Dural NSW,22 Allen Way,2158,-33.6908,151.01752,Store
501056,North Rocks NSW,North Rocks Road,2151,-33.76881,151.02882,Store
501055,Seven Hills NSW,Prospect Hwy & Federal Rd,2147,-33.77547,150.93316,Store
501060,Erina NSW,Erina Fair S/C Terrigal Dr,2250,-33.43932,151.39398,Store
501057,Forster NSW,"Lot 21-22, Breese Parade",2428,-32.20046,152.51935,Store
501074,Belmont NSW,Cnr Pacific Hwy & Maude St,2280,-33.03426,151.66095,Store
501059,East Maitland  NSW,18-20 Garnett Road,2323,-32.76011,151.58838,Store
501072,Point Clare NSW,53-59 Brisbane Water Drive,2250,-33.44282,151.3291,Store
501066,Rutherford NSW,3 Hillview Street,2320,-32.71707,151.52727,Store
501071,Raymond Terrace  NSW,22-32 Port Stephens Road,2324,-32.75851,151.74619,Store
501093,Taree NSW,Cnr High St and Commerce St,2430,-31.911049,152.452752,Store
501003,Katoomba NSW,Cnr Waratah St/Katoomba St,2780,-33.71745,150.31063,Store
501089,Toronto NSW,189-197 Brighton Ave,2283,-33.01384,151.594677,Store
501075,Mudgee NSW,97-99 Church Street,2850,-32.59709,149.58746,Store
