handle,location,review_title,rating_text,review_text,review_date,value_for_money,product_quality,customer_service,return_claim_made,incentivised_review,user_reviews_count,store_location,user_reviews_likes,rating_value,website,brand,page
Aurel,,Rude Cashier and poor service - Not worth saving a few cents for,1 out of 5 stars,"I usually shop online from Coles or Woolworths for grocery. Several times, since I was in Chatswood, I dropped into Aldi to pick up some items. Problem (1): There is always a long queue and long wait at check-out, and one particular female cashier was almost always discourteous and loud. I have learned to avoid her, but today at around noon, she was the only one serving so I had no choice. When I got there, I showed her my shopping bag that had two small gardening items from another shop. She looked, nodded and started scanning. When I was... about to pack away the items, she asked to check my backpack. When I said I would show her after I had packed the grocery away, she suddenly wanted to see the shopping bag again in addition to the backpack. It was a loud and blunt demand, giving the im0ression that she thought I had shop-lifted. Of course there wasn't anything of Aldi's in my bag and backpack, but there was no hint of apology or even a ""thank you"" from her. Problem (2): Price - Comparing the prices of similar items sold by Coles and Woolworth, it is a myth that Aldi is cheaper. Some items might be a few cents less, but others are similar or even more expensive. Besides, Aldi never has discounts on real food for the dinner table, whereas different specials/half-price items are always offered by the other two supermarkets every week. I do weekly online shopping at Coles, and would save at least 1/3 of the total cost and only pay a small delivery fee to have the grocery delivered to the front door - $4 and even $2 if I choose a 6-hour delivery window. If there is any complaint concerning any item (e.g, vegetable not fresh, egg cracked...), I get a refund straight away and no questions asked. Conclusion - I would be extremely foolish to ever go back to Aldi again.",2023-01-10T04:02:45.000Z,2,3,1,,False,4,,6,1,ProductReview.com.au,ALDI,1
Pedro,,No stock poor quality fruit and vegetables,2 out of 5 stars,My wife brought bananas again and as usual after few hours bruising appears length of banana not spots when ripening. Some of there salad items ok but most stock is second grade with premium price suggest you go to your local fruit shop to get good quality. Stock shortages have been a problem for some time especially ice cream which is still unavailable only named brand which is lot dearer than other majors. Seafood especially fish and prawns always scare especially thereAdvertise specials. Christmas specials advertised on TV weren’t available. Other majors seem to have the stock available now. Aldi should not advertise products if they can’t obtain them,2023-01-10T01:24:01.000Z,,,,,,8,,6,2,ProductReview.com.au,ALDI,1
Necia L.,,Loved them until one bad experience-never again,1 out of 5 stars,"Whilst eating a Spinach & Cheese Gozleme I found what appeared to be either a small bird beak or a foot, I bagged it and returned the sample and remaining gozleme and packet to Aldi, I was given a refund Whoopie do, I had to ask for my name and details to be taken as I said if I got sick I would be going back to the store. I have never had one since, can’t stomach them, I will only buy fresh when I find them now.",2023-01-09T13:02:23.000Z,,,,,,3,,,1,ProductReview.com.au,ALDI,1
Steph G.,,The worst tasty cheese ever....,1 out of 5 stars,"Aldi westacre vintage cheese is so bland and tasteless, years ago untill they changed who they got it from it was so nice, I just wasted my money, so angry and disappointed, there is no way this cheese should be called Vintage, it's just like a home brand cheese....",2023-01-09T12:54:44.000Z,1,1,,False,False,,,,1,ProductReview.com.au,ALDI,1
ant s,,Bad experience with product and company,2 out of 5 stars,"I have lot of problems with leaking bateries from ALDI. I lost an electric clock long time ago.I lost a Volt tester from $60 and an expensive 4 bateries professional USA MEGLITE TORCH worth $150, about one and a half year ago.. Aldi only offer me a $50 voucher to shop grocery at their shop(?????). ALDI HAS NO RESPONSIBILITY FEELINGS. THEY DO NOT STAND BEHIND THEIR PRODUCTS AND DO NOT CARE WHEN THEIR PRODUCT DAMAGED OUR PROPERTY. I do not understand it is allowed in our country. I will never more use aldi bateries in my life.",2023-01-09T07:21:01.000Z,,,,,,3,,,2,ProductReview.com.au,ALDI,1
astrid beglinger,,hidden extras !,2 out of 5 stars,"I am a shopper at Aldi over last 50 years which includes overseas experiences.on satuday last 7/1/2023 I purchased chicken thights and on the face of it , the presentation looked well.however on close inspection unwrapping this product at home,it appeared that 10% at least was fat rolled up cleverly hidden within the product and made up of bits and pieces. This did not resemble chicken thights. The product was Broad oak farms chicken. In the past the chicken tights were of a better quality. I am so disappointed, to have to pay for a lot of fat I don't eat.photos show front and back.",2023-01-09T03:35:37.000Z,,,,,,,,,2,ProductReview.com.au,ALDI,1
Steve W.,,Tasteless,1 out of 5 stars,Just had some world kitchen Ricotta and Spinach Agnolotti.I'm sorry but it was tasteless sludge as far as I'm concerned. No flavour at all except if you like boiled flour.Never again.,2023-01-08T08:41:40.000Z,1,,,False,False,2,Bowral,1,1,ProductReview.com.au,ALDI,1
Gigi W.,,Terrible customer service,1 out of 5 stars,"Went to Bunbury store received a terrible customer service from store manager. She ignore customers rights and rude. I made a complaint on Aldi’s website, two weeks already, there is no responding. Actually I just find out, they get rid of directly contacts, you have to write a form and make online inquiry for everything. For such a big business, make customers can’t even reach them by phone calls? Everyone, Aldi has no customers services, be aware of that when you shop in their store!",2023-01-06T03:57:12.000Z,3,2,1,,False,2,,1,1,ProductReview.com.au,ALDI,1
Sal,"South East Queensland, QLD",Still the same...nothing changed. .thin flimsy bags,1 out of 5 stars,Still thin flimsy plastic bags with fruit dropping through and bruizing and staff can't do much about it as it's up to head office to improve bags. So why do I bother sending reviews if they don't care. stop sending me review request if you can't fix the issue. I just go to my fruit shop next door now to Aldi to by fruit and vegies.,2023-01-06T02:03:39.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,1
susan m.,,Strawberries,1 out of 5 stars,Bought strawberries on Tuesday open the map today which is Thursday and I have 15 out of 45 strawberries to eat yes I counted themEven have a photo but apparently I can't show it hereAt $5 a pop ($4.99) and 6 kids to feed they thought all the Christmases had come at once as they got to strawberries each LoL,2023-01-06T01:22:29.000Z,1,1,1,,False,,,,1,ProductReview.com.au,ALDI,1
